"","y","m","state","county","mean_spi"
"1","2014",1,"Central Equatoria","Juba",-0.264019803072474
"2","2014",1,"Central Equatoria","Kajo-keji",-0.219565414838475
"3","2014",1,"Central Equatoria","Lainya",0.165852159758866
"4","2014",1,"Central Equatoria","Morobo",-0.026307001650266
"5","2014",1,"Central Equatoria","Terekeka",-0.0802270033972682
"6","2014",1,"Central Equatoria","Yei",0.460845475166129
"7","2014",1,"Eastern Equatoria","Budi",-1.09704666736696
"8","2014",1,"Eastern Equatoria","Ikotos",-1.00751050033125
"9","2014",1,"Eastern Equatoria","Kapoeta East",-0.758025078910947
"10","2014",1,"Eastern Equatoria","Kapoeta North",-0.684210465755473
"11","2014",1,"Eastern Equatoria","Kapoeta South",-1.38990210981681
"12","2014",1,"Eastern Equatoria","Lafon",-1.10349362981694
"13","2014",1,"Eastern Equatoria","Magwi",-0.807958147260804
"14","2014",1,"Eastern Equatoria","Torit",-1.24145533521789
"15","2014",1,"Jonglei","Akobo",-0.960494853170029
"16","2014",1,"Jonglei","Ayod",0.0247068162272255
"17","2014",1,"Jonglei","Bor South",-0.57555551839421
"18","2014",1,"Jonglei","Canal/Pigi",0.226051534280501
"19","2014",1,"Jonglei","Duk",-0.32557793539995
"20","2014",1,"Jonglei","Fangak",-0.127803887072118
"21","2014",1,"Jonglei","Nyirol",-0.22948783447398
"22","2014",1,"Jonglei","Pibor",-0.649814180995759
"23","2014",1,"Jonglei","Pochalla",-0.852779050059865
"24","2014",1,"Jonglei","Twic East",-0.616658261722823
"25","2014",1,"Jonglei","Uror",-0.530441620622628
"26","2014",1,"Lakes","Awerial",-0.348270887808768
"27","2014",1,"Lakes","Cueibet",1.4678241201633
"28","2014",1,"Lakes","Rumbek Centre",1.30871376833599
"29","2014",1,"Lakes","Rumbek East",0.80669426585678
"30","2014",1,"Lakes","Rumbek North",1.35057420610294
"31","2014",1,"Lakes","Wulu",1.40554126649098
"32","2014",1,"Lakes","Yirol East",-0.445064912544037
"33","2014",1,"Lakes","Yirol West",-0.0361084483705274
"34","2014",1,"Northern Bahr el Ghazal","Aweil Centre",-0.223793935810984
"35","2014",1,"Northern Bahr el Ghazal","Aweil East",0.429060944438305
"36","2014",1,"Northern Bahr el Ghazal","Aweil North",0.37986224855661
"37","2014",1,"Northern Bahr el Ghazal","Aweil South",0.327731345933371
"38","2014",1,"Northern Bahr el Ghazal","Aweil West",-0.0978934032954114
"39","2014",1,"Unity","Abiemnhom",0.343865040078626
"40","2014",1,"Unity","Guit",-1.41475449583712
"41","2014",1,"Unity","Koch",-0.359817634706114
"42","2014",1,"Unity","Leer",0.45064921921511
"43","2014",1,"Unity","Mayendit",0.270844130836575
"44","2014",1,"Unity","Mayom",0.317848265387162
"45","2014",1,"Unity","Panyijiar",0.155419538942532
"46","2014",1,"Unity","Pariang",-0.36280024786718
"47","2014",1,"Unity","Rubkona",0.236617735431618
"48","2014",1,"Upper Nile","Baliet",-0.354921370102065
"49","2014",1,"Upper Nile","Fashoda",0.444127434949082
"50","2014",1,"Upper Nile","Longochuk",-0.281262096757136
"51","2014",1,"Upper Nile","Luakpiny/Nasir",-0.163647636313081
"52","2014",1,"Upper Nile","Maban",0.416950306515679
"53","2014",1,"Upper Nile","Maiwut",-0.895219851029678
"54","2014",1,"Upper Nile","Malakal",0.450459295132902
"55","2014",1,"Upper Nile","Manyo",0.455716294132184
"56","2014",1,"Upper Nile","Melut",0.406350448904403
"57","2014",1,"Upper Nile","Panyikang",0.542350605583812
"58","2014",1,"Upper Nile","Renk",0.73944988740076
"59","2014",1,"Upper Nile","Ulang",-0.413555265080812
"60","2014",1,"Warrap","Gogrial East",0.237325767375377
"61","2014",1,"Warrap","Gogrial West",0.292695929761912
"62","2014",1,"Warrap","Tonj East",1.2493134761193
"63","2014",1,"Warrap","Tonj North",0.433018615589507
"64","2014",1,"Warrap","Tonj South",1.56717665786601
"65","2014",1,"Warrap","Twic",0.282606484253866
"66","2014",1,"Western Bahr el Ghazal","Jur River",0.735512420734924
"67","2014",1,"Western Bahr el Ghazal","Raja",0.294880202376085
"68","2014",1,"Western Bahr el Ghazal","Wau",0.525796043599808
"69","2014",1,"Western Equatoria","Ezo",0.804074148146722
"70","2014",1,"Western Equatoria","Ibba",0.593188719744368
"71","2014",1,"Western Equatoria","Maridi",0.763890697734697
"72","2014",1,"Western Equatoria","Mundri East",0.427646436391449
"73","2014",1,"Western Equatoria","Mundri West",0.58490493964172
"74","2014",1,"Western Equatoria","Mvolo",0.927575547293339
"75","2014",1,"Western Equatoria","Nagero",1.26540086041696
"76","2014",1,"Western Equatoria","Nzara",0.703880931998338
"77","2014",1,"Western Equatoria","Tambura",1.08140775359456
"78","2014",1,"Western Equatoria","Yambio",0.564914326810637
"79","2014",1,"Warrap","Abyei Region",0.472002684938476
"80","2014",2,"Central Equatoria","Juba",0.0405404160578536
"81","2014",2,"Central Equatoria","Kajo-keji",-0.296177018983641
"82","2014",2,"Central Equatoria","Lainya",-0.026150117140484
"83","2014",2,"Central Equatoria","Morobo",-0.469219781003142
"84","2014",2,"Central Equatoria","Terekeka",0.520466109813551
"85","2014",2,"Central Equatoria","Yei",-0.360230902625593
"86","2014",2,"Eastern Equatoria","Budi",0.194209047242697
"87","2014",2,"Eastern Equatoria","Ikotos",-0.369915666451632
"88","2014",2,"Eastern Equatoria","Kapoeta East",-0.00540690824219987
"89","2014",2,"Eastern Equatoria","Kapoeta North",0.376001846492132
"90","2014",2,"Eastern Equatoria","Kapoeta South",0.296366426036961
"91","2014",2,"Eastern Equatoria","Lafon",-0.202574996727156
"92","2014",2,"Eastern Equatoria","Magwi",-0.309114811211981
"93","2014",2,"Eastern Equatoria","Torit",-0.729402653064567
"94","2014",2,"Jonglei","Akobo",1.04294149251929
"95","2014",2,"Jonglei","Ayod",0.952500452729259
"96","2014",2,"Jonglei","Bor South",0.584819726315038
"97","2014",2,"Jonglei","Canal/Pigi",1.02071918138244
"98","2014",2,"Jonglei","Duk",1.39937767982816
"99","2014",2,"Jonglei","Fangak",1.13676055638097
"100","2014",2,"Jonglei","Nyirol",1.35132961280555
"101","2014",2,"Jonglei","Pibor",0.197235472350221
